step,perf/dataload_seconds,perf/samples_per_second,perf/update_seconds,system/gpu_memory_gb,train/episodes,train/epoch,train/grad_norm,train/learning_rate,train/loss,train/samples
6800.0,0.003,223.0,0.141,2.86,1000.0,0.33,1.719,8.8e-05,0.437,218000.0
6850.0,0.003,221.0,0.142,2.86,1000.0,0.33,1.85,8.8e-05,0.442,219000.0
6900.0,0.003,220.0,0.143,2.86,1000.0,0.33,1.86,8.8e-05,0.443,221000.0
6950.0,0.003,220.0,0.143,2.86,1000.0,0.33,1.759,8.8e-05,0.427,222000.0
7000.0,0.003,225.0,0.14,2.86,2000.0,0.33,1.721,8.8e-05,0.448,224000.0
7050.0,0.003,221.0,0.142,2.86,2000.0,0.34,1.935,8.7e-05,0.446,226000.0
7100.0,0.003,213.0,0.148,2.86,2000.0,0.34,1.893,8.7e-05,0.448,227000.0
7150.0,0.003,218.0,0.144,2.86,2000.0,0.34,1.736,8.7e-05,0.433,229000.0
7200.0,0.003,221.0,0.142,2.87,2000.0,0.34,1.866,8.7e-05,0.441,230000.0
7250.0,0.003,220.0,0.143,2.87,2000.0,0.35,1.761,8.7e-05,0.43,232000.0
7300.0,0.003,220.0,0.142,2.86,2000.0,0.35,1.699,8.7e-05,0.449,234000.0
7350.0,0.003,217.0,0.145,2.86,2000.0,0.35,1.71,8.6e-05,0.44,235000.0
7400.0,0.003,217.0,0.144,2.86,2000.0,0.35,1.825,8.6e-05,0.442,237000.0
7450.0,0.003,221.0,0.142,2.86,2000.0,0.36,1.801,8.6e-05,0.439,238000.0
7500.0,0.003,218.0,0.144,2.86,2000.0,0.36,1.628,8.6e-05,0.424,240000.0
7550.0,0.003,222.0,0.141,2.86,2000.0,0.36,1.742,8.6e-05,0.433,242000.0
7600.0,0.003,222.0,0.141,2.86,2000.0,0.36,1.7,8.5e-05,0.447,243000.0
7650.0,0.003,220.0,0.142,2.86,2000.0,0.37,1.873,8.5e-05,0.449,245000.0
7700.0,0.003,210.0,0.15,2.86,2000.0,0.37,1.707,8.5e-05,0.426,246000.0
7750.0,0.003,222.0,0.142,2.86,2000.0,0.37,1.777,8.5e-05,0.437,248000.0
7800.0,0.003,221.0,0.142,2.86,2000.0,0.37,1.607,8.5e-05,0.442,250000.0
7850.0,0.002,222.0,0.141,2.86,2000.0,0.38,1.913,8.5e-05,0.436,251000.0
7900.0,0.003,220.0,0.143,2.86,2000.0,0.38,1.608,8.4e-05,0.427,253000.0
7950.0,0.003,216.0,0.145,2.86,2000.0,0.38,1.663,8.4e-05,0.434,254000.0
8000.0,0.003,222.0,0.141,2.86,2000.0,0.38,1.763,8.4e-05,0.425,256000.0
8050.0,0.003,220.0,0.143,2.86,2000.0,0.39,1.844,8.4e-05,0.431,258000.0
8100.0,0.003,219.0,0.143,2.86,2000.0,0.39,1.622,8.4e-05,0.423,259000.0
8150.0,0.003,220.0,0.142,2.86,2000.0,0.39,1.636,8.3e-05,0.428,261000.0
8200.0,0.003,214.0,0.146,2.86,2000.0,0.39,1.777,8.3e-05,0.435,262000.0
8250.0,0.003,222.0,0.142,2.86,2000.0,0.39,1.64,8.3e-05,0.433,264000.0
8300.0,0.003,220.0,0.142,2.86,2000.0,0.4,1.543,8.3e-05,0.436,266000.0
8350.0,0.003,224.0,0.14,2.86,2000.0,0.4,1.635,8.3e-05,0.423,267000.0
8400.0,0.003,222.0,0.141,2.86,2000.0,0.4,1.543,8.2e-05,0.428,269000.0
8450.0,0.003,221.0,0.142,2.86,2000.0,0.4,1.644,8.2e-05,0.426,270000.0
8500.0,0.003,220.0,0.143,2.86,2000.0,0.41,1.609,8.2e-05,0.423,272000.0
8550.0,0.003,218.0,0.144,2.86,2000.0,0.41,1.764,8.2e-05,0.418,274000.0
8600.0,0.003,222.0,0.141,2.86,2000.0,0.41,1.746,8.2e-05,0.427,275000.0
8650.0,0.003,220.0,0.143,2.87,2000.0,0.41,1.838,8.1e-05,0.427,277000.0
8700.0,0.003,220.0,0.143,2.86,2000.0,0.42,1.601,8.1e-05,0.43,278000.0
8750.0,0.003,222.0,0.142,2.86,2000.0,0.42,1.681,8.1e-05,0.428,280000.0
8800.0,0.003,222.0,0.141,2.86,2000.0,0.42,1.677,8.1e-05,0.419,282000.0
8850.0,0.003,218.0,0.144,2.87,2000.0,0.42,1.576,8.1e-05,0.412,283000.0
8900.0,0.003,221.0,0.142,2.86,2000.0,0.43,1.792,8e-05,0.43,285000.0
8950.0,0.003,218.0,0.144,2.86,2000.0,0.43,1.487,8e-05,0.417,286000.0
9000.0,0.003,221.0,0.142,2.86,2000.0,0.43,1.729,8e-05,0.422,288000.0
9050.0,0.003,220.0,0.143,2.86,2000.0,0.43,1.66,8e-05,0.427,290000.0
9100.0,0.003,217.0,0.145,2.86,2000.0,0.44,1.568,8e-05,0.412,291000.0
9150.0,0.003,222.0,0.141,2.86,2000.0,0.44,1.542,7.9e-05,0.426,293000.0
9200.0,0.003,220.0,0.143,2.86,2000.0,0.44,1.688,7.9e-05,0.419,294000.0
9250.0,0.003,220.0,0.143,2.86,2000.0,0.44,1.611,7.9e-05,0.415,296000.0
9300.0,0.003,218.0,0.144,2.86,2000.0,0.44,1.662,7.9e-05,0.434,298000.0
9350.0,0.003,221.0,0.142,2.86,2000.0,0.45,1.643,7.9e-05,0.421,299000.0
9400.0,0.003,219.0,0.143,2.86,2000.0,0.45,1.543,7.8e-05,0.417,301000.0
9450.0,0.003,222.0,0.141,2.86,2000.0,0.45,1.502,7.8e-05,0.413,302000.0
9500.0,0.003,220.0,0.143,2.86,2000.0,0.45,1.568,7.8e-05,0.412,304000.0
9550.0,0.003,222.0,0.142,2.86,2000.0,0.46,1.656,7.8e-05,0.429,306000.0
